id,name,url,clip_of,clip_position,path,speed,airtable_id,created_at,updated_at,source_url,source_text
cb62d8b0-c59b-46d0-9455-868b324ad937,Out of the_v001,content/start/testbank/outofthe1.mp4,,1,content/start/testbank/outofthe1,Fast,recK9MfMwG3ez5ARu,2020-02-01 18:26:40.315802+00,2020-02-08 17:02:31.291798+00,,
4f63e193-7ca3-416a-a793-050d2a8e7a6c,At_v001,content/1word/basiclevel1/at/testmeaning/fast.mp4,,1,content/1word/basiclevel1/at/testmeaning/fast,Fast,recVVPQ3qjENNXPIY,2020-02-01 18:26:40.316396+00,2020-02-08 17:02:31.291798+00,,
59fc515a-175b-44ff-9998-8f9d52e2accf,Must have happened_v002,content/start/testdictation/musthavehappened2.mp4,,1,content/start/testdictation/musthavehappened2,Slow ,rec2apktI63lduE1l,2020-02-01 18:26:40.373588+00,2020-02-08 17:02:31.291798+00,,
d18bda9f-9733-4c8b-821a-c0f2640fd1b3,At_v002,content/1word/basiclevel1/at/testmeaning/slow.mp4,,1,content/1word/basiclevel1/at/testmeaning/slow,Slow ,recYgUg6kCj9JyIT8,2020-02-01 18:26:40.394586+00,2020-02-08 17:02:31.291798+00,,
46b4b22b-a55f-4723-bdd9-363e0b16e9f3,At_v003,content/1word/basiclevel1/at/testdictation/fast.mp4,,1,content/1word/basiclevel1/at/testdictation/fast,Fast,recYB88A9dRkCAu2l,2020-02-01 18:26:40.394862+00,2020-02-08 17:02:31.291798+00,,
71869727-98da-4429-8a6e-4bf08b19c70c,At_v004,content/1word/basiclevel1/at/testdictation/medium.mp4,,1,content/1word/basiclevel1/at/testdictation/medium,Medium,recIfgXYSjtguYukk,2020-02-01 18:26:40.395059+00,2020-02-08 17:02:31.291798+00,,
2fe26480-416d-4a50-9bca-8f8d680d70b1,At_v005,content/1word/basiclevel1/at/testdictation/slow.mp4,,1,content/1word/basiclevel1/at/testdictation/slow,Slow ,recJJ3p7oP0HgODpi,2020-02-01 18:26:40.395244+00,2020-02-08 17:02:31.291798+00,,
cda62fb4-7c0d-45db-9c66-55b9f21c4b0e,At_v006,content/1word/basiclevel1/at/testbank/fast.mp4,,1,content/1word/basiclevel1/at/testbank/fast,Fast,recxiI6JT11sXvtrW,2020-02-01 18:26:40.395427+00,2020-02-08 17:02:31.291798+00,,
5c67686a-c8b2-40e1-8b2b-2e0bc6555311,At_v007,content/1word/basiclevel1/at/testbank/medium.mp4,,1,content/1word/basiclevel1/at/testbank/medium,Medium,recuF7jF4WVhkSYoL,2020-02-01 18:26:40.395619+00,2020-02-08 17:02:31.291798+00,,
6aa3f83d-58c1-4d94-96e6-e206b0e9f61c,At_v008,content/1word/basiclevel1/at/testbank/slow.mp4,,1,content/1word/basiclevel1/at/testbank/slow,Slow ,recDJegtqTy9WAdSr,2020-02-01 18:26:40.39579+00,2020-02-08 17:02:31.291798+00,,
9d909145-b53d-4110-a155-8f1d8bbae611,But_v001,content/1word/basiclevel1/but/testmeaning/fast.mp4,,1,content/1word/basiclevel1/but/testmeaning/fast,Fast,recum5XOtXSYj6dH2,2020-02-01 18:26:40.395967+00,2020-02-08 17:02:31.291798+00,,
c182d656-72b8-419d-84f1-8238669209ed,But_v002,content/1word/basiclevel1/but/testmeaning/medium.mp4,,1,content/1word/basiclevel1/but/testmeaning/medium,Medium,rec3QQMsTWvzjxxfq,2020-02-01 18:26:40.396196+00,2020-02-08 17:02:31.291798+00,,
f5161a83-fdf6-441f-b80a-e9a9eacc1937,But_v004,content/1word/basiclevel1/but/testdictation/fast.mp4,,1,content/1word/basiclevel1/but/testdictation/fast,Fast,recA1XBwnd1JH2fIm,2020-02-01 18:26:40.454262+00,2020-02-08 17:02:31.291798+00,,
